,Share,Change
0,DAPGM,112.31617842202371
1,RYGYO,94.11763708873383
2,RTALB,40.99037138927099
3,TRCAS,30.35294901960782
4,KONKA,70.09493670886076
5,MSGYO,42.45439469320067
6,YKBNK,29.518072289156606
7,BRMEN,151.72413793103448
8,DESPC,66.84117703076342
9,SOKM,70.24344555552358
10,EUPWR,126.43895408833822
11,BRKSN,238.66317169069464
12,IZMDC,92.82608695652172
13,TOASO,21.07279663209583
14,KOZAL,47.39039665970773
15,ZEDUR,123.6703449183781
16,CEOEM,25.83732057416269
17,VESTL,52.451228114057045
18,MRGYO,77.4712643678161
19,HUBVC,48.803827751196195
20,BIMAS,62.02531645569621
21,GWIND,66.60362934187927
22,NIBAS,27.83883516483516
23,ANELE,73.79310344827587
24,KLRHO,187.0731829268293
25,HTTBT,64.52266877039034
26,GLBMD,194.92600422832976
27,PINSU,45.889387144992526
28,MGROS,72.15116627906977
29,GOKNR,68.90829694323145
30,KOZAA,68.73240000000001
31,PRKAB,22.301582448349905
32,LUKSK,174.26406414796105
33,FROTO,65.64626347209153
34,NTHOL,98.58585858585857
35,TURSG,73.53255069370334
36,YATAS,28.41133487145683
37,PAPIL,126.67758592471358
38,EDIP,143.54838709677418
39,SASA,50.489735740738865
40,ULUSE,18.488373837209295
41,DURDO,24.216213513513537
42,EUHOL,35.838150289017335
43,AFYON,44.81865284974094
44,BEYAZ,20.02568035943517
45,KZBGY,28.445755334061886
46,ULKER,53.05706341518129
47,USAK,113.22033898305082
48,YUNSA,121.54167762457607
49,BOSSA,34.2672080090868
50,ALCAR,57.30633746443229
51,BIENY,70.79328465352333
52,ATAGY,50.83333333333334
53,IDGYO,81.96202531645568
54,AYDEM,63.29966329966328
55,HATEK,64.17033773861968
56,LOGO,55.21201608523023
57,CUSAN,11.129661164700124
58,NETAS,37.962966269841274
59,DARDL,80.56426332288402
60,GOODY,126.69864908073544
61,BERA,47.74396642182583
62,OZGYO,36.81318681318683
63,MNDTR,37.16941386704789
64,SAMAT,-36.03042876901799
65,DOAS,123.42040328779456
