,Share,Increase_Percentage
240,IDEAS,109.0232511627907
241,IDGYO,81.96202531645568
242,IHEVA,63.414634146341456
243,IHLGM,78.75
244,IHGZT,41.75824175824175
245,IHAAS,NaN
246,IHLAS,54.929577464788764
247,IHYAY,76.31578947368422
248,IMASM,NaN
249,INDES,38.20156910078455
250,INFO,60.406091370558386
251,INTEM,102.17687891156464
252,INVEO,0.0
253,INVES,NaN
254,ISKPL,NaN
255,IEYHO,91.72932330827064
256,IPEKE,80.99762866191608
257,ISDMR,30.553699132755185
258,"ISATR, ISBTR, ISCTR, ISKUR",NaN
260,ISFIN,100.17921146953404
261,ISGSY,33.64853427895983
262,ISGYO,84.49519230769229
263,ISMEN,132.07791334728935
264,ISYAT,53.99515738498789
266,ISSEN,NaN
267,ITTFH,25.614035087719287
268,IZINV,61.03897314652008
269,IZMDC,92.82608695652172
270,IZFAS,38.01020408163265
271,JANTS,56.04060609137056
272,KFEIN,90.04814392465792
273,KLKIM,38.919919200746364
274,KAPLM,41.369858904109606
275,KRDMD,68.32843841642227
276,KAREL,73.08248914616499
277,KARSN,27.529923830250283
278,KRTEK,46.455770357352066
279,KARYE,NaN
280,KARTN,38.85618437584213
281,KATMR,70.75471698113208
282,KENT,27.950310559006212
283,KERVT,51.19196988707654
284,KRVGD,77.62237762237763
285,KERVN,34.83146067415731
286,KLRHO,187.0731829268293
287,KIMMR,NaN
288,KMPUR,86.76373068094082
289,KZBGY,28.445755334061886
290,KLGYO,43.57798165137615
291,KLMSN,47.74774774774775
292,KCAER,NaN
293,KCHOL,78.10025680341991
294,KLSYN,NaN
295,KNFRT,67.69095697980686
296,KONTR,146.57406296296293
297,KONYA,87.05906414309484
298,KONKA,70.09493670886076
299,KGYO,0.0
301,KORDS,47.540983606557376
302,KRPLS,NaN
303,KOZAL,47.39039665970773
304,KOZAA,68.73240000000001
305,KOPOL,NaN
306,KRGYO,77.22165985699695
307,KRSTL,-3.789731051344745
308,KRONT,66.70792698019801
309,KTKVK,NaN
311,KUVVA,-6.493506493506487
312,KUYAS,32.35473295551276
313,KUTPO,64.32225904461683
314,KTSKR,NaN
315,LIDER,NaN
316,LIDFA,76.06354316583568
317,LINK,52.99184390280698
318,LOGO,55.21201608523023
319,LKMNH,125.88236470588234
320,LUKSK,174.26406414796105
321,MACKO,NaN
322,MAKIM,NaN
323,MAKTK,66.46884272997033
324,MANAS,NaN
325,MAGEN,58.07692820512821
326,MARKA,NaN
327,MAALT,98.64237653395591
328,MRSHL,24.84052943669336
329,MRGYO,77.4712643678161
330,MARTI,21.45110410094638
331,MTRKS,NaN
332,MAVI,NaN
333,MZHLD,63.125
334,MEDTR,60.234375
335,MEGAP,62.04620462046205
336,MNDRS,55.9748427672956
337,MERCN,NaN
338,MERIT,103.2467533521673
339,MERKO,NaN
340,METUR,95.4301075268817
341,METRO,50.64935064935062
342,MEPET,79.46666666666667
343,MTRYO,68.85714285714286
344,MIATK,NaN
345,MGROS,72.15116627906977
346,MIPAZ,270.46632124352334
347,MSGYO,42.45439469320067
348,MPARK,66.51447031268512
349,MMCAS,99.81818181818181
350,MOBTL,NaN
351,MNDTR,37.16941386704789
352,EGEPO,NaN
353,NATEN,71.32188519739591
354,NTGAZ,NaN
355,NTHOL,98.58585858585857
