,Share_Name,Bilanco_Date,Cari_Oran,Nakit_Oran,Toplam_Yabancı_Kaynaklar_Oz_Kaynaklar_Oranı,Alacak_Devir_Hızı,Aktif_Devir_Hızı,Oz_Varlık_Karlılıgı,Kar_Marjları,Hisse_Bası_Kazanc,Fiyat_Satıs_Oranı,Total
102,DOBUR,0,0,0,0,0,0,0,0,0,0,0
103,DOHOL,0,0,0,0,0,0,0,0,0,0,0
104,DGNMO,0,0,0,0,0,0,0,0,0,0,0
105,ARASE,0,0,0,0,0,0,0,0,0,0,0
106,DOGUB,0,0,0,0,0,0,0,0,0,0,0
107,DGGYO,0,0,0,0,0,0,0,0,0,0,0
108,DOAS,0,0,0,0,0,0,0,0,0,0,0
109,DOKTA,0,0,0,0,0,0,0,0,0,0,0
110,DURDO,0,0,0,0,0,0,0,0,0,0,0
111,DYOBY,0,0,0,0,0,0,0,0,0,0,0
112,EDATA,0,0,0,0,0,0,0,0,0,0,0
113,EDIP,0,0,0,0,0,0,0,0,0,0,0
114,EGEEN,0,0,0,0,0,0,0,0,0,0,0
115,EGGUB,0,0,0,0,0,0,0,0,0,0,0
116,EGPRO,0,0,0,0,0,0,0,0,0,0,0
117,EGSER,0,0,0,0,0,0,0,0,0,0,0
118,EPLAS,0,0,0,0,0,0,0,0,0,0,0
119,ECILC,0,0,0,0,0,0,0,0,0,0,0
120,EKIZ,0,0,0,0,0,0,0,0,0,0,0
121,ELITE,0,0,0,0,0,0,0,0,0,0,0
122,EMKEL,0,0,0,0,0,0,0,0,0,0,0
123,EMNIS,0,0,0,0,0,0,0,0,0,0,0
124,EKGYO,0,0,0,0,0,0,0,0,0,0,0
125,ENJSA,0,0,0,0,0,0,0,0,0,0,0
126,ENKAI,0,0,0,0,0,0,0,0,0,0,0
127,ENSRI,0,0,0,0,0,0,0,0,0,0,0
128,ERBOS,0,0,0,0,0,0,0,0,0,0,0
129,ERCB,0,0,0,0,0,0,0,0,0,0,0
130,EREGL,0,0,0,0,0,0,0,0,0,0,0
131,KIMMR,0,0,0,0,0,0,0,0,0,0,0
132,ERSU,0,0,0,0,0,0,0,0,0,0,0
133,ESCAR,0,0,0,0,0,0,0,0,0,0,0
134,ESCOM,0,0,0,0,0,0,0,0,0,0,0
135,ESEN,0,0,0,0,0,0,0,0,0,0,0
136,ETILR,0,0,0,0,0,0,0,0,0,0,0
137,EUKYO,0,0,0,0,0,0,0,0,0,0,0
138,EUYO,0,0,0,0,0,0,0,0,0,0,0
139,ETYAT,0,0,0,0,0,0,0,0,0,0,0
140,EUHOL,0,0,0,0,0,0,0,0,0,0,0
141,TEZOL,0,0,0,0,0,0,0,0,0,0,0
142,FADE,0,0,0,0,0,0,0,0,0,0,0
143,FMIZP,0,0,0,0,0,0,0,0,0,0,0
144,FLAP,0,0,0,0,0,0,0,0,0,0,0
145,FONET,0,0,0,0,0,0,0,0,0,0,0
146,FROTO,0,0,0,0,0,0,0,0,0,0,0
147,FORMT,0,0,0,0,0,0,0,0,0,0,0
148,FRIGO,0,0,0,0,0,0,0,0,0,0,0
149,GWIND,0,0,0,0,0,0,0,0,0,0,0
150,GRNYO,0,0,0,0,0,0,0,0,0,0,0
151,GEDIK,0,0,0,0,0,0,0,0,0,0,0
152,GEDZA,0,0,0,0,0,0,0,0,0,0,0
153,GENIL,0,0,0,0,0,0,0,0,0,0,0
154,GENTS,0,0,0,0,0,0,0,0,0,0,0
155,GEREL,0,0,0,0,0,0,0,0,0,0,0
156,GZNMI,0,0,0,0,0,0,0,0,0,0,0
157,GMTAS,0,0,0,0,0,0,0,0,0,0,0
158,GESAN,0,0,0,0,0,0,0,0,0,0,0
159,GLYHO,0,0,0,0,0,0,0,0,0,0,0
160,GOODY,0,0,0,0,0,0,0,0,0,0,0
161,GOLTS,0,0,0,0,0,0,0,0,0,0,0
162,GOZDE,0,0,0,0,0,0,0,0,0,0,0
163,GSDDE,0,0,0,0,0,0,0,0,0,0,0
164,GSDHO,0,0,0,0,0,0,0,0,0,0,0
165,GUBRF,0,0,0,0,0,0,0,0,0,0,0
166,GLRYH,0,0,0,0,0,0,0,0,0,0,0
167,GRSEL,0,0,0,0,0,0,0,0,0,0,0
168,SAHOL,0,0,0,0,0,0,0,0,0,0,0
169,HLGYO,0,0,0,0,0,0,0,0,0,0,0
170,HATEK,0,0,0,0,0,0,0,0,0,0,0
171,HDFGS,0,0,0,0,0,0,0,0,0,0,0
172,HEDEF,0,0,0,0,0,0,0,0,0,0,0
173,HEKTS,0,0,0,0,0,0,0,0,0,0,0
174,HTTBT,0,0,0,0,0,0,0,0,0,0,0
175,HUBVC,0,0,0,0,0,0,0,0,0,0,0
176,HURGZ,0,0,0,0,0,0,0,0,0,0,0
177,INGRM,0,0,0,0,0,0,0,0,0,0,0
178,ISKPL,0,0,0,0,0,0,0,0,0,0,0
179,IEYHO,0,0,0,0,0,0,0,0,0,0,0
180,IDEAS,0,0,0,0,0,0,0,0,0,0,0
181,IDGYO,0,0,0,0,0,0,0,0,0,0,0
182,IHEVA,0,0,0,0,0,0,0,0,0,0,0
183,IHLGM,0,0,0,0,0,0,0,0,0,0,0
184,IHGZT,0,0,0,0,0,0,0,0,0,0,0
185,IHAAS,0,0,0,0,0,0,0,0,0,0,0
186,IHLAS,0,0,0,0,0,0,0,0,0,0,0
187,IHYAY,0,0,0,0,0,0,0,0,0,0,0
188,INDES,0,0,0,0,0,0,0,0,0,0,0
189,INTEM,0,0,0,0,0,0,0,0,0,0,0
190,IPEKE,0,0,0,0,0,0,0,0,0,0,0
191,ISDMR,0,0,0,0,0,0,0,0,0,0,0
192,ISGYO,0,0,0,0,0,0,0,0,0,0,0
193,ISSEN,0,0,0,0,0,0,0,0,0,0,0
194,ITTFH,0,0,0,0,0,0,0,0,0,0,0
195,IZINV,0,0,0,0,0,0,0,0,0,0,0
196,IZMDC,0,0,0,0,0,0,0,0,0,0,0
197,IZFAS,0,0,0,0,0,0,0,0,0,0,0
198,JANTS,0,0,0,0,0,0,0,0,0,0,0
199,KFEIN,0,0,0,0,0,0,0,0,0,0,0
200,KLKIM,0,0,0,0,0,0,0,0,0,0,0
201,KAPLM,0,0,0,0,0,0,0,0,0,0,0
202,KAREL,0,0,0,0,0,0,0,0,0,0,0
203,KARSN,0,0,0,0,0,0,0,0,0,0,0
204,KRTEK,0,0,0,0,0,0,0,0,0,0,0
205,KARYE,0,0,0,0,0,0,0,0,0,0,0
206,KARTN,0,0,0,0,0,0,0,0,0,0,0
207,KATMR,0,0,0,0,0,0,0,0,0,0,0
208,KENT,0,0,0,0,0,0,0,0,0,0,0
209,KERVT,0,0,0,0,0,0,0,0,0,0,0
210,KRVGD,0,0,0,0,0,0,0,0,0,0,0
211,KERVN,0,0,0,0,0,0,0,0,0,0,0
212,KLGYO,0,0,0,0,0,0,0,0,0,0,0
213,KLMSN,0,0,0,0,0,0,0,0,0,0,0
214,KCHOL,0,0,0,0,0,0,0,0,0,0,0
215,KLSYN,0,0,0,0,0,0,0,0,0,0,0
216,KNFRT,0,0,0,0,0,0,0,0,0,0,0
217,KONTR,0,0,0,0,0,0,0,0,0,0,0
218,KONYA,0,0,0,0,0,0,0,0,0,0,0
219,KONKA,0,0,0,0,0,0,0,0,0,0,0
220,KGYO,0,0,0,0,0,0,0,0,0,0,0
221,KORDS,0,0,0,0,0,0,0,0,0,0,0
222,KOZAL,0,0,0,0,0,0,0,0,0,0,0
223,KOZAA,0,0,0,0,0,0,0,0,0,0,0
224,KRGYO,0,0,0,0,0,0,0,0,0,0,0
