Date,Open,High,Low,Close,Adj Close,Volume
2023-03-29,47.119999,50.500000,46.299999,50.500000,47.964336,1683304
2023-03-30,50.549999,51.049999,48.779999,48.779999,46.330700,1054547
2023-03-31,48.779999,49.080002,47.500000,47.799999,45.399910,802490
2023-04-03,47.639999,48.279999,46.119999,47.439999,45.057983,1163292
2023-04-04,47.500000,48.020000,45.220001,47.720001,45.323925,1217639
2023-04-05,47.740002,48.880001,47.400002,47.439999,45.057983,1077900
2023-04-06,null,null,null,null,null,null
2023-04-07,48.400002,49.619999,47.980000,48.419998,45.988777,1012775
2023-04-10,48.500000,49.740002,48.439999,48.779999,46.330700,1356472
2023-04-11,48.860001,49.240002,48.320000,48.700001,47.332867,887206
2023-04-12,49.020000,49.560001,48.599998,49.099998,47.721638,1637955
2023-04-13,49.259998,50.349998,48.639999,48.820000,47.449497,1922301
2023-04-14,49.139999,49.439999,47.599998,47.599998,46.263744,707319
2023-04-17,47.619999,48.180000,47.000000,48.000000,46.652519,867391
2023-04-18,48.020000,48.459999,46.980000,48.200001,46.846905,1063487
2023-04-19,48.259998,48.560001,47.299999,47.860001,46.516449,500339
2023-04-20,47.860001,48.000000,46.980000,48.000000,46.652519,412329
2023-04-24,48.360001,50.099998,48.340000,48.880001,47.507816,1281265
2023-04-25,49.700001,49.900002,46.799999,47.639999,46.302624,1990790
2023-04-26,47.500000,47.799999,46.560001,46.820000,45.505642,574654
2023-04-27,46.700001,48.180000,45.860001,45.860001,44.572594,1236446
2023-04-28,46.080002,46.360001,44.060001,44.599998,43.347965,856137
2023-05-02,44.599998,45.099998,41.119999,41.840000,40.665443,850034
2023-05-03,41.820000,46.020000,37.660000,41.000000,39.849026,2276230
2023-05-04,40.459999,42.099998,40.119999,42.099998,40.918144,1679894
2023-05-05,42.259998,42.820000,41.000000,42.680000,41.481865,1002262
