Date,Open,High,Low,Close,Adj Close,Volume
2023-04-28,67.699997,68.699997,64.050003,65.000000,65.000000,391452
2023-05-02,65.000000,65.800003,60.750000,61.000000,61.000000,491755
2023-05-03,61.000000,61.500000,57.700001,60.200001,60.200001,581045
2023-05-04,60.200001,61.500000,58.549999,59.000000,59.000000,803183
2023-05-05,59.549999,59.950001,58.500000,58.950001,58.950001,240808
2023-05-08,59.099998,61.450001,58.500000,61.150002,61.150002,248090
2023-05-09,61.150002,62.700001,60.599998,61.599998,61.599998,344253
2023-05-10,61.799999,62.299999,60.450001,61.299999,61.299999,136190
2023-05-11,61.299999,67.050003,60.900002,66.500000,66.500000,824423
2023-05-12,66.800003,68.000000,65.150002,66.400002,66.400002,655940
2023-05-15,63.299999,66.500000,60.500000,61.250000,61.250000,342924
2023-05-16,61.250000,62.299999,60.799999,62.049999,62.049999,308926
2023-05-17,62.099998,63.599998,62.049999,63.250000,63.250000,339459
2023-05-18,63.299999,64.000000,61.250000,61.250000,61.250000,316459
2023-05-22,61.500000,62.000000,59.500000,59.500000,59.500000,270403
2023-05-23,59.500000,60.250000,58.950001,58.950001,58.950001,265476
2023-05-24,59.200001,59.650002,57.700001,58.049999,58.049999,221149
2023-05-25,58.349998,59.200001,58.299999,58.849998,58.849998,99771
2023-05-26,59.000000,60.450001,58.799999,59.849998,59.849998,175356
2023-05-29,60.799999,62.549999,60.200001,61.500000,61.500000,376303
2023-05-30,62.000000,65.199997,62.000000,65.000000,65.000000,496206
2023-05-31,67.000000,69.849998,64.849998,64.849998,64.849998,1242815
2023-06-01,64.800003,67.150002,64.750000,65.449997,65.449997,574175
2023-06-02,66.400002,68.500000,66.300003,67.449997,67.449997,1108727
2023-06-05,68.500000,72.199997,68.199997,70.300003,70.300003,2120243
2023-06-06,71.900002,74.449997,71.050003,74.099998,74.099998,2248900
2023-06-07,74.099998,79.900002,73.449997,79.400002,79.400002,1841630
2023-06-08,79.400002,81.000000,77.000000,79.500000,79.500000,1484717
2023-06-09,80.250000,86.500000,80.250000,84.800003,84.800003,2373192
2023-06-12,86.150002,88.400002,82.000000,83.099998,83.099998,1770585
2023-06-13,83.099998,84.800003,80.300003,84.400002,84.400002,1194783
2023-06-14,84.500000,85.199997,81.000000,81.000000,81.000000,966133
2023-06-15,81.500000,83.500000,80.300003,80.750000,80.750000,942174
2023-06-16,81.449997,81.800003,79.099998,81.050003,81.050003,855636
2023-06-19,81.500000,85.000000,80.449997,83.300003,83.300003,2130442
2023-06-20,83.949997,86.500000,82.849998,84.500000,84.500000,2574172
2023-06-21,85.300003,88.300003,85.250000,85.699997,85.699997,1924721
2023-06-22,86.099998,87.400002,81.800003,84.250000,84.250000,1978484
2023-06-23,85.599998,88.400002,85.500000,86.000000,86.000000,1643001
2023-06-26,87.500000,90.699997,87.500000,90.550003,90.550003,1560913
2023-06-27,91.500000,91.650002,90.000000,90.099998,90.099998,558783
2023-07-03,90.900002,92.599998,90.849998,91.400002,91.400002,1654579
2023-07-04,92.000000,92.099998,88.500000,88.800003,88.800003,963177
2023-07-05,88.800003,92.550003,88.800003,92.099998,92.099998,1748835
2023-07-06,92.150002,101.300003,92.099998,98.150002,98.150002,3653511
2023-07-07,98.199997,107.900002,97.099998,107.400002,107.400002,3890352
2023-07-10,107.400002,111.900002,103.599998,104.400002,104.400002,2618048
2023-07-11,106.000000,107.500000,103.000000,106.199997,106.199997,1304727
2023-07-12,106.400002,108.599998,104.800003,105.000000,105.000000,1516942
2023-07-13,107.699997,108.500000,104.099998,104.300003,104.300003,1762480
2023-07-14,104.599998,105.900002,103.099998,103.300003,103.300003,1134823
2023-07-17,103.599998,106.800003,103.599998,105.699997,105.699997,1111700
2023-07-18,105.800003,107.099998,101.000000,101.500000,101.500000,1390046
2023-07-19,101.500000,105.699997,100.500000,104.099998,104.099998,1052531
2023-07-20,105.000000,106.800003,104.000000,105.400002,105.400002,1184669
2023-07-21,105.599998,111.699997,102.599998,108.699997,108.699997,2446400
2023-07-24,110.000000,119.500000,109.599998,118.000000,118.000000,2945194
2023-07-25,119.199997,120.699997,112.000000,113.099998,113.099998,1832564
2023-07-26,113.500000,118.500000,113.300003,115.400002,115.400002,2846783
2023-07-27,115.800003,117.699997,114.000000,114.500000,114.500000,1237137
2023-07-28,114.900002,119.000000,114.000000,115.900002,115.900002,3463704
