,Open_Time,Close_Time,Price_Direction,O,C,h,l,v,qav,num_trades,taker_base_vol,taker_quote_vol
0,2020-09-05 23:00:00,2020-09-06 02:59:59.999,2.10944232302801,9956.66,10166.69,10200.0,9878.58,11587.087641,116495917.13161972,240093.0,6078.117023,61121605.78264969
1,2020-09-06 03:00:00,2020-09-06 06:59:59.999,-0.0292130477077708,10166.69,10163.72,10245.75,10052.92,8575.147064,87082479.13917704,165703.0,4318.606943,43852253.95699569
2,2020-09-06 07:00:00,2020-09-06 10:59:59.999,0.6558628689720749,10163.71,10230.37,10250.0,9994.86,11083.905812,112225770.7400486,206350.0,5409.024755,54758494.82440481
3,2020-09-06 11:00:00,2020-09-06 14:59:59.999,0.3515027819157793,10230.36,10266.32,10285.0,10165.29,10837.319384,110815471.6661871,198129.0,5492.994198,56169583.6912595
4,2020-09-06 15:00:00,2020-09-06 18:59:59.999,-0.9053877143903456,10266.32,10173.37,10300.0,10120.19,10696.45027,109325612.55864972,190752.0,5253.370506,53693203.22056232
5,2020-09-06 19:00:00,2020-09-06 22:59:59.999,0.8341328007045675,10173.44,10258.3,10280.0,10141.28,6530.064548,66744636.12482595,129796.0,3394.411758,34693400.45614084
6,2020-09-06 23:00:00,2020-09-07 02:59:59.999,-0.0204712281761943,10258.3,10256.2,10347.14,10180.17,8645.901737,88709030.00628616,162462.0,4165.030667,42737976.60159954
7,2020-09-07 03:00:00,2020-09-07 06:59:59.999,-0.5049781150148749,10255.89,10204.1,10312.0,10180.0,5587.392185,57215925.53144953,99710.0,2623.680094,26868238.0116508
8,2020-09-07 07:00:00,2020-09-07 10:59:59.999,-0.885250625006737,10203.89,10113.56,10240.82,10052.38,9315.794226,94408782.69827266,134920.0,4423.693759,44832871.14945763
9,2020-09-07 11:00:00,2020-09-07 14:59:59.999,-0.8636705652963658,10113.81,10026.46,10184.53,9995.08,11592.647986,117000144.13850084,175546.0,5472.649285,55242719.84932248
10,2020-09-07 15:00:00,2020-09-07 18:59:59.999,1.1722969300262294,10026.47,10144.01,10166.66,9875.0,18787.872843,188237143.50611824,252351.0,9245.346065,92638485.91230609
