Index,Share,Report_Date
1,A1CAP,2023-08-09 00:00:00
2,ACSEL,2023-08-03 00:00:00
3,ADEL,2023-08-09 00:00:00
4,ADESE,2023-08-15 00:00:00
5,AFYON,2023-08-04 00:00:00
6,AGESA,2023-08-07 00:00:00
7,AGESA,2023-08-07 00:00:00
8,AHGAZ,2023-08-18 00:00:00
9,AKENR,2023-08-15 00:00:00
10,AKMEN,2023-07-25 00:00:00
11,AKBNK,2023-07-26 00:00:00
12,AKBNK,2023-07-26 00:00:00
13,AKCNS,2023-08-07 00:00:00
14,AKYHO,2023-08-17 00:00:00
15,AKFGY,2023-08-07 00:00:00
16,AKFGY,2023-08-07 00:00:00
17,AKFYE,2023-08-18 00:00:00
18,ATEKS,2023-08-18 00:00:00
19,AKSGY,2023-08-15 00:00:00
20,AKSGY,2023-08-15 00:00:00
21,AKMGY,2023-08-08 00:00:00
22,AKSA,2023-08-08 00:00:00
23,AKSEN,2023-08-15 00:00:00
24,AKGRT,2023-08-07 00:00:00
25,AKGRT,2023-08-07 00:00:00
26,AKSUE,2023-08-04 00:00:00
27,AKTIF,2023-08-15 00:00:00
28,AKTIF,2023-08-21 00:00:00
29,ALCAR,2023-08-08 00:00:00
30,ALGYO,2023-08-09 00:00:00
31,ALGYO,2023-08-09 00:00:00
32,ALARK,2023-08-18 00:00:00
33,ALBRK,2023-08-09 00:00:00
34,ALBRK,2023-08-17 00:00:00
35,ALCTL,2023-08-08 00:00:00
36,ALFAS,2023-07-31 00:00:00
37,ALKA,2023-08-08 00:00:00
38,ALKIM,2023-08-16 00:00:00
39,ALMAD,2023-08-10 00:00:00
40,AYCES,2023-08-09 00:00:00
41,AEFES,2023-08-08 00:00:00
42,AGHOL,2023-08-10 00:00:00
43,ANHYT,2023-07-31 00:00:00
44,ANHYT,2023-07-31 00:00:00
45,ASUZU,2023-08-08 00:00:00
46,ANSGR,2023-08-02 00:00:00
47,ANSGR,2023-08-02 00:00:00
48,ANGEN,2023-08-11 00:00:00
49,ANELE,2023-08-17 00:00:00
50,ARCLK,2023-07-21 00:00:00
