Index,Share,Report_Date
1,ACSEL,2023-05-02 00:00:00
2,ADEL,2023-05-02 00:00:00
3,ADESE,2023-05-10 00:00:00
4,AFYON,2023-05-02 00:00:00
5,AGESA,2023-05-02 00:00:00
6,AGESA,2023-05-02 00:00:00
7,AHGAZ,2023-05-09 00:00:00
8,AKENR,2023-05-10 00:00:00
9,AKMEN,2023-04-25 00:00:00
10,AKBNK,2023-04-26 00:00:00
11,AKBNK,2023-04-26 00:00:00
12,AKCNS,2023-04-28 00:00:00
13,AKYHO,2023-05-10 00:00:00
14,AKFGY,2023-05-08 00:00:00
15,AKFGY,2023-05-08 00:00:00
16,AKFYE,2023-05-09 00:00:00
17,ATEKS,2023-05-09 00:00:00
18,AKSGY,2023-05-08 00:00:00
19,AKSGY,2023-05-08 00:00:00
20,AKMGY,2023-05-08 00:00:00
21,AKSA,2023-05-02 00:00:00
22,AKSEN,2023-05-08 00:00:00
23,AKGRT,2023-05-03 00:00:00
24,AKGRT,2023-05-03 00:00:00
25,AKSUE,2023-04-28 00:00:00
26,AKTIF,2023-05-16 00:00:00
27,AKTIF,2023-05-22 00:00:00
28,ALCAR,2023-04-28 00:00:00
29,ALGYO,2023-05-05 00:00:00
30,ALGYO,2023-05-05 00:00:00
31,ALARK,2023-05-09 00:00:00
32,ALBRK,2023-05-04 00:00:00
33,ALBRK,2023-05-16 00:00:00
34,ALCTL,2023-05-02 00:00:00
35,ALFAS,2023-05-02 00:00:00
36,ALKA,2023-05-02 00:00:00
37,ALKIM,2023-05-09 00:00:00
38,ALMAD,2023-05-18 00:00:00
39,AYCES,2023-05-02 00:00:00
40,AEFES,2023-05-03 00:00:00
41,AGHOL,2023-05-05 00:00:00
42,ANHYT,2023-04-28 00:00:00
43,ANHYT,2023-04-28 00:00:00
44,ASUZU,2023-05-03 00:00:00
45,ANSGR,2023-05-02 00:00:00
46,ANSGR,2023-05-02 00:00:00
47,ANGEN,2023-05-08 00:00:00
48,ANELE,2023-05-10 00:00:00
49,ARCLK,2023-04-19 00:00:00
50,ARDYZ,2023-05-10 00:00:00
51,ARENA,2023-05-04 00:00:00
52,INGRM,2023-05-08 00:00:00
53,ARSAN,2023-07-03 00:00:00
54,ARZUM,2023-05-03 00:00:00
55,ASELS,2023-04-26 00:00:00
56,ASTOR,2023-05-02 00:00:00
57,ATAGY,2023-05-02 00:00:00
58,AGYO,2023-05-10 00:00:00
59,AGYO,2023-05-10 00:00:00
60,ATSYH,2023-05-10 00:00:00
61,ATLAS,2023-05-02 00:00:00
62,ATATP,2023-05-08 00:00:00
63,AVOD,2023-05-10 00:00:00
64,AVGYO,2023-05-10 00:00:00
65,AVGYO,2023-05-10 00:00:00
66,AVTUR,2023-05-10 00:00:00
67,AVHOL,2023-05-10 00:00:00
68,AYDEM,2023-05-09 00:00:00
69,AYEN,2023-05-09 00:00:00
71,AYGAZ,2023-04-28 00:00:00
72,AZTEK,2023-05-04 00:00:00
73,BAGFS,2023-05-10 00:00:00
74,BAKAB,2023-05-10 00:00:00
76,BNTAS,2023-04-29 00:00:00
77,BANVT,2023-05-10 00:00:00
78,BARMA,2023-05-02 00:00:00
79,BASGZ,2023-05-02 00:00:00
81,BTCIM,2023-05-10 00:00:00
82,BSOKE,2023-05-02 00:00:00
83,BAYRK,2023-05-02 00:00:00
84,BERA,2023-05-10 00:00:00
85,BRKSN,2023-05-10 00:00:00
86,BJKAS,2023-04-10 00:00:00
87,BEYAZ,2023-05-02 00:00:00
88,BIENY,2023-06-19 00:00:00
89,BLCYT,2023-05-05 00:00:00
90,BIMAS,2023-05-08 00:00:00
91,BIOEN,2023-05-10 00:00:00
92,BRKVY,2023-05-02 00:00:00
93,BRKO,2023-05-22 00:00:00
94,BRLSM,2023-05-04 00:00:00
95,BRMEN,2023-05-10 00:00:00
96,BIZIM,2023-05-10 00:00:00
97,BMSTL,2023-05-02 00:00:00
98,BMSCH,2023-05-10 00:00:00
100,BOBET,2023-05-01 00:00:00
101,BRSAN,2023-05-08 00:00:00
102,BRYAT,2023-05-02 00:00:00
103,BFREN,2023-05-02 00:00:00
104,BOSSA,2023-04-28 00:00:00
105,BRISA,2023-05-03 00:00:00
106,BVSAN,2023-05-10 00:00:00
107,BURCE,2023-05-10 00:00:00
108,BURVA,2023-05-02 00:00:00
109,BUCIM,2023-05-09 00:00:00
110,BIGCH,2023-06-01 00:00:00
110,CRFSA,2023-04-28 00:00:00
111,CASA,2023-05-03 00:00:00
112,CEOEM,2023-05-09 00:00:00
113,CCOLA,2023-05-02 00:00:00
114,CONSE,2023-05-09 00:00:00
115,COSMO,2023-05-10 00:00:00
116,CRDFA,2023-05-02 00:00:00
117,CANTE,2023-05-10 00:00:00
118,CVKMD,2023-05-09 00:00:00
119,CWENE,2023-05-18 00:00:00
120,CLEBI,2023-05-10 00:00:00
121,CELHA,2023-05-10 00:00:00
122,CEMAS,2023-05-10 00:00:00
123,CEMTS,2023-04-27 00:00:00
124,CMBTN,2023-05-02 00:00:00
125,CMENT,2023-05-09 00:00:00
126,CIMSA,2023-05-04 00:00:00
127,CUSAN,2023-05-10 00:00:00
128,DAGI,2023-05-10 00:00:00
129,DAGHL,2023-05-10 00:00:00
130,DAPGM,2023-05-02 00:00:00
131,DARDL,2023-05-10 00:00:00
132,DGATE,2023-05-10 00:00:00
133,DMSAS,2023-05-02 00:00:00
134,DENGE,2023-05-10 00:00:00
135,DZGYO,2023-04-25 00:00:00
136,DERIM,2023-05-02 00:00:00
137,DERHL,2023-05-05 00:00:00
138,DESA,2023-04-27 00:00:00
139,DESPC,2023-05-02 00:00:00
140,DEVA,2023-05-05 00:00:00
141,DNISI,2023-05-02 00:00:00
142,DIRIT,2023-05-25 00:00:00
143,DITAS,2023-05-08 00:00:00
144,DOCO,2023-06-15 00:00:00
145,DOBUR,2023-04-28 00:00:00
146,DOHOL,2023-05-09 00:00:00
147,DGNMO,2023-05-09 00:00:00
148,ARASE,2023-05-10 00:00:00
149,DOGUB,2023-04-28 00:00:00
150,DGGYO,2023-05-09 00:00:00
151,DOAS,2023-05-09 00:00:00
152,DOKTA,2023-05-10 00:00:00
153,DURDO,2023-05-10 00:00:00
154,DYOBY,2023-05-02 00:00:00
155,EDATA,2023-05-02 00:00:00
156,ECILC,2023-05-02 00:00:00
157,ECZYT,2023-05-02 00:00:00
158,EDIP,2023-05-08 00:00:00
159,EGEEN,2023-05-10 00:00:00
160,EGGUB,2023-05-09 00:00:00
161,EGPRO,2023-05-09 00:00:00
162,EGSER,2023-04-28 00:00:00
163,EPLAS,2023-05-10 00:00:00
164,EKIZ,2023-05-02 00:00:00
165,EKSUN,2023-05-02 00:00:00
166,ELITE,2023-05-10 00:00:00
167,EMKEL,2023-05-10 00:00:00
168,EMNIS,2023-05-02 00:00:00
169,EKGYO,2023-05-09 00:00:00
170,EKGYO,2023-05-09 00:00:00
171,ENJSA,2023-05-04 00:00:00
172,ENKAI,2023-05-09 00:00:00
173,ENSRI,2023-05-02 00:00:00
174,ERBOS,2023-05-09 00:00:00
175,ERCB,2023-05-10 00:00:00
176,EREGL,2023-05-02 00:00:00
177,ERSU,2023-05-02 00:00:00
178,ESCAR,2023-05-09 00:00:00
179,ESCOM,2023-05-02 00:00:00
180,ESEN,2023-05-03 00:00:00
181,ETILR,2023-05-09 00:00:00
182,EUKYO,2023-05-02 00:00:00
183,ETYAT,2023-05-02 00:00:00
184,EUYO,2023-05-02 00:00:00
185,EUHOL,2023-05-02 00:00:00
186,TEZOL,2023-05-10 00:00:00
187,EUREN,2023-05-10 00:00:00
188,EUPWR,2023-05-22 00:00:00
189,EYGYO,2023-05-09 00:00:00
190,EYGYO,2023-05-09 00:00:00
191,FADE,2023-05-09 00:00:00
192,FENER,2023-04-10 00:00:00
193,FLAP,2023-05-02 00:00:00
194,FMIZP,2023-04-28 00:00:00
195,FONET,2023-05-10 00:00:00
196,FROTO,2023-04-27 00:00:00
197,FORMT,2023-05-10 00:00:00
198,FRIGO,2023-05-10 00:00:00
199,GWIND,2023-05-03 00:00:00
200,GSRAY,2023-04-10 00:00:00
201,GARAN,2023-04-27 00:00:00
202,GARAN,2023-04-27 00:00:00
203,GARFA,2023-04-26 00:00:00
204,GRNYO,2023-03-24 00:00:00
205,GEDIK,2023-05-10 00:00:00
206,GEDZA,2023-05-08 00:00:00
207,GLCVY,2023-05-02 00:00:00
208,GENTS,2023-05-10 00:00:00
209,GENIL,2023-05-08 00:00:00
210,GEREL,2023-05-10 00:00:00
211,GZNMI,2023-05-10 00:00:00
212,GMTAS,2023-05-03 00:00:00
213,GESAN,2023-05-22 00:00:00
214,GLBMD,2023-05-05 00:00:00
215,GLYHO,2023-05-10 00:00:00
216,GOKNR,2023-05-10 00:00:00
217,GSIPD,2023-05-16 00:00:00
218,GOODY,2023-04-27 00:00:00
219,GOLTS,2023-05-10 00:00:00
220,GOZDE,2023-05-02 00:00:00
221,GRTRK,2023-05-10 00:00:00
222,GSDDE,2023-05-10 00:00:00
223,GSDHO,2023-05-10 00:00:00
224,GUBRF,2023-05-17 00:00:00
225,GLRYH,2023-05-17 00:00:00
226,GRSEL,2023-05-09 00:00:00
227,HLGYO,2023-05-11 00:00:00
228,HLGYO,2023-05-11 00:00:00
229,HATEK,2023-05-10 00:00:00
230,HDFGS,2023-04-28 00:00:00
231,HEDEF,2023-04-28 00:00:00
232,HEKTS,2023-05-09 00:00:00
233,HTTBT,2023-05-09 00:00:00
234,HKTM,2023-05-10 00:00:00
235,HUBVC,2023-05-02 00:00:00
236,HUNER,2023-05-11 00:00:00
237,HURGZ,2023-05-09 00:00:00
238,ICBCT,2023-04-28 00:00:00
239,ICBCT,2023-04-28 00:00:00
240,IDEAS,2023-05-10 00:00:00
241,IDGYO,2023-05-02 00:00:00
242,IHEVA,2023-05-10 00:00:00
243,IHLGM,2023-05-10 00:00:00
244,IHGZT,2023-05-02 00:00:00
245,IHAAS,2023-05-02 00:00:00
246,IHLAS,2023-05-10 00:00:00
247,IHYAY,2023-05-10 00:00:00
248,IMASM,2023-05-10 00:00:00
249,INDES,2023-05-10 00:00:00
250,INFO,2023-05-05 00:00:00
251,INTEM,2023-05-02 00:00:00
252,INVEO,2023-05-02 00:00:00
253,INVES,2023-04-23 00:00:00
254,ISKPL,2023-05-10 00:00:00
255,IEYHO,2023-05-10 00:00:00
256,IPEKE,2023-05-02 00:00:00
257,ISDMR,2023-05-02 00:00:00
258,"ISATR, ISBTR, ISCTR, ISKUR",2023-05-09 00:00:00
259,"ISATR, ISBTR, ISCTR, ISKUR",2023-05-09 00:00:00
260,ISFIN,2023-05-02 00:00:00
261,ISGSY,2023-04-28 00:00:00
262,ISGYO,2023-05-02 00:00:00
263,ISMEN,2023-05-02 00:00:00
264,ISYAT,2023-05-02 00:00:00
266,ISSEN,2023-05-10 00:00:00
267,ITTFH,2023-05-10 00:00:00
268,IZINV,2023-05-09 00:00:00
269,IZMDC,2023-05-10 00:00:00
270,IZFAS,2023-05-09 00:00:00
271,JANTS,2023-05-02 00:00:00
272,KFEIN,2023-05-10 00:00:00
273,KLKIM,2023-05-01 00:00:00
274,KAPLM,2023-05-10 00:00:00
275,KRDMD,2023-05-05 00:00:00
276,KAREL,2023-05-04 00:00:00
277,KARSN,2023-04-14 00:00:00
278,KRTEK,2023-05-01 00:00:00
279,KARYE,2023-05-10 00:00:00
280,KARTN,2023-05-10 00:00:00
281,KATMR,2023-05-10 00:00:00
282,KENT,2023-05-02 00:00:00
283,KERVT,2023-05-10 00:00:00
284,KRVGD,2023-05-10 00:00:00
285,KERVN,2023-05-10 00:00:00
286,KLRHO,2023-05-10 00:00:00
287,KIMMR,2023-05-02 00:00:00
288,KMPUR,2023-05-08 00:00:00
289,KZBGY,2023-05-02 00:00:00
290,KLGYO,2023-04-28 00:00:00
291,KLMSN,2023-05-10 00:00:00
292,KCAER,2023-05-08 00:00:00
293,KCHOL,2023-05-02 00:00:00
294,KLSYN,2023-05-10 00:00:00
295,KNFRT,2023-05-10 00:00:00
296,KONTR,2023-05-11 00:00:00
297,KONYA,2023-05-10 00:00:00
298,KONKA,2023-05-02 00:00:00
299,KGYO,2023-05-10 00:00:00
300,KGYO,2023-05-10 00:00:00
301,KORDS,2023-05-05 00:00:00
302,KRPLS,2023-05-02 00:00:00
303,KOZAL,2023-05-02 00:00:00
304,KOZAA,2023-05-02 00:00:00
305,KOPOL,2023-05-03 00:00:00
306,KRGYO,2023-04-27 00:00:00
307,KRSTL,2023-05-09 00:00:00
308,KRONT,2023-05-05 00:00:00
309,KTKVK,2023-04-28 00:00:00
311,KUVVA,2023-05-02 00:00:00
312,KUYAS,2023-04-27 00:00:00
313,KUTPO,2023-05-10 00:00:00
314,KTSKR,2023-05-02 00:00:00
315,LIDER,2023-05-02 00:00:00
316,LIDFA,2023-05-04 00:00:00
317,LINK,2023-05-02 00:00:00
318,LOGO,2023-05-09 00:00:00
319,LKMNH,2022-05-22 00:00:00
320,LUKSK,2023-05-10 00:00:00
321,MACKO,2023-05-09 00:00:00
322,MAKIM,2023-05-02 00:00:00
323,MAKTK,2023-05-08 00:00:00
324,MANAS,2023-05-02 00:00:00
325,MAGEN,2023-04-20 00:00:00
326,MARKA,2023-05-10 00:00:00
327,MAALT,2023-04-28 00:00:00
328,MRSHL,2023-05-02 00:00:00
329,MRGYO,2023-05-26 00:00:00
330,MARTI,2023-06-09 00:00:00
331,MTRKS,2023-05-04 00:00:00
332,MAVI,2023-06-08 00:00:00
333,MZHLD,2023-05-10 00:00:00
334,MEDTR,2023-05-09 00:00:00
335,MEGAP,2023-05-10 00:00:00
336,MNDRS,2023-05-10 00:00:00
337,MERCN,2023-05-09 00:00:00
338,MERIT,2023-05-10 00:00:00
339,MERKO,2023-05-10 00:00:00
340,METUR,2023-05-04 00:00:00
341,METRO,2023-04-29 00:00:00
342,MEPET,2023-05-10 00:00:00
343,MTRYO,2023-05-02 00:00:00
344,MIATK,2023-03-24 00:00:00
345,MGROS,2023-05-03 00:00:00
346,MIPAZ,2023-04-28 00:00:00
347,MSGYO,2023-05-02 00:00:00
348,MPARK,2023-05-09 00:00:00
349,MMCAS,2023-05-10 00:00:00
350,MOBTL,2023-05-10 00:00:00
351,MNDTR,2023-05-29 00:00:00
352,EGEPO,2023-05-02 00:00:00
353,NATEN,2023-05-03 00:00:00
354,NTGAZ,2023-04-28 00:00:00
355,NTHOL,2023-05-10 00:00:00
356,NETAS,2023-05-05 00:00:00
357,NIBAS,2023-04-28 00:00:00
358,NUHCM,2023-05-10 00:00:00
359,NUGYO,2023-05-02 00:00:00
360,OBASE,2023-05-09 00:00:00
361,ODAS,2023-05-10 00:00:00
362,ONCSM,2023-05-08 00:00:00
363,ORCAY,2023-05-05 00:00:00
364,ORGE,2023-05-09 00:00:00
366,OSMEN,2023-03-24 00:00:00
367,OSTIM,2023-05-10 00:00:00
368,OTKAR,2023-04-27 00:00:00
369,OTTO,2023-05-10 00:00:00
370,OYAKC,2023-05-10 00:00:00
371,OYYAT,2023-05-02 00:00:00
372,OYAYO,2023-05-02 00:00:00
373,OYLUM,2023-05-02 00:00:00
374,OZKGY,2023-05-10 00:00:00
375,OZKGY,2023-05-10 00:00:00
376,OZGYO,2023-04-28 00:00:00
377,OZRDN,2023-05-10 00:00:00
378,OZSUB,2023-05-09 00:00:00
379,PAMEL,2023-05-09 00:00:00
380,PAGYO,2023-05-09 00:00:00
381,PAGYO,2023-05-09 00:00:00
382,PNLSN,2023-05-02 00:00:00
383,PAPIL,2023-05-10 00:00:00
384,PRDGS,2023-05-02 00:00:00
385,PRKME,2023-05-09 00:00:00
386,PARSN,2023-05-10 00:00:00
387,PSGYO,2023-05-02 00:00:00
388,PSGYO,2023-05-02 00:00:00
389,PCILT,2023-05-10 00:00:00
390,PGSUS,2023-05-10 00:00:00
391,PEKGY,2023-05-10 00:00:00
392,PEKGY,2023-05-10 00:00:00
393,PENGD,2023-05-10 00:00:00
394,PENTA,2023-05-09 00:00:00
395,PEGYO,2023-05-02 00:00:00
396,PSDTC,2023-05-02 00:00:00
397,PETKM,2023-05-09 00:00:00
398,PKENT,2023-05-02 00:00:00
399,PETUN,2023-05-02 00:00:00
400,PINSU,2023-05-02 00:00:00
401,PNSUT,2023-05-02 00:00:00
402,PKART,2023-04-20 00:00:00
403,PLTUR,2023-05-22 00:00:00
404,POLHO,2023-05-05 00:00:00
405,POLTK,2023-04-28 00:00:00
406,PRZMA,2023-05-02 00:00:00
407,QNBFL,2023-04-25 00:00:00
408,QNBFB,2023-04-27 00:00:00
409,QNBFB,2023-04-27 00:00:00
410,QUAGR,2023-05-10 00:00:00
411,RNPOL,2023-05-09 00:00:00
412,RALYH,2023-05-10 00:00:00
413,RAYSG,2023-04-26 00:00:00
414,RYGYO,2023-05-09 00:00:00
415,RYGYO,2023-05-09 00:00:00
416,RYSAS,2023-05-10 00:00:00
417,RHEAG,2023-05-02 00:00:00
418,RODRG,2023-05-08 00:00:00
420,RTALB,2023-05-08 00:00:00
421,RUBNS,2023-05-02 00:00:00
422,SAHOL,2023-05-08 00:00:00
423,SAFKR,2023-05-02 00:00:00
424,SANEL,2023-05-29 00:00:00
425,SANFM,2023-05-10 00:00:00
426,SANKO,2023-05-30 00:00:00
427,SAMAT,2023-05-02 00:00:00
428,SARKY,2023-05-10 00:00:00
429,SASA,2023-05-05 00:00:00
430,SAYAS,2023-05-09 00:00:00
431,SDTTR,2023-05-10 00:00:00
432,SEKUR,2023-05-10 00:00:00
433,SELEC,2023-05-10 00:00:00
434,SELGD,2023-05-10 00:00:00
435,SELVA,2023-05-10 00:00:00
436,SNKRN,2023-05-02 00:00:00
437,SNICA,2023-05-02 00:00:00
438,SRVGY,2023-05-09 00:00:00
439,SRVGY,2023-05-09 00:00:00
440,SEYKM,2023-05-02 00:00:00
441,SILVR,2023-05-02 00:00:00
442,SNGYO,2023-05-10 00:00:00
443,SNGYO,2023-05-10 00:00:00
444,SMRTG,2023-05-09 00:00:00
445,SMART,2023-05-10 00:00:00
447,SOKE,2023-05-09 00:00:00
448,SKTAS,2023-05-10 00:00:00
449,SONME,2023-05-02 00:00:00
450,SNPAM,2023-05-02 00:00:00
452,SUNTK,2023-05-09 00:00:00
453,SEKFK,2023-04-27 00:00:00
454,SEGYO,2023-04-28 00:00:00
455,SEGYO,2023-04-28 00:00:00
456,SKBNK,2023-04-28 00:00:00
457,SKBNK,2023-04-28 00:00:00
