Index,Share,Report_Date
157,EGSER,2023-03-01 00:00:00
158,EPLAS,2023-03-13 00:00:00
159,EKIZ,2023-02-28 00:00:00
160,ELITE,2023-03-13 00:00:00
161,EMKEL,2023-03-13 00:00:00
162,EMNIS,2023-02-20 00:00:00
163,EKGYO,2023-03-07 00:00:00
164,EKGYO,2023-03-07 00:00:00
165,ENJSA,2023-02-23 00:00:00
166,ENKAI,2023-03-04 00:00:00
167,ENSRI,2023-02-24 00:00:00
168,ERBOS,2023-02-28 00:00:00
169,ERCB,2023-03-13 00:00:00
170,EREGL,2023-03-03 00:00:00
171,ERSU,2023-02-14 00:00:00
172,ESCAR,2023-03-08 00:00:00
173,ESCOM,2023-03-01 00:00:00
174,ESEN,2023-03-13 00:00:00
175,ETILR,2023-03-10 00:00:00
176,EUKYO,2023-02-22 00:00:00
177,ETYAT,2023-02-22 00:00:00
178,EUYO,2023-02-22 00:00:00
179,EUHOL,2023-03-01 00:00:00
180,TEZOL,2023-03-09 00:00:00
181,EUREN,2023-02-28 00:00:00
182,EYGYO,2023-03-10 00:00:00
183,EYGYO,2023-03-10 00:00:00
184,FADE,2023-02-06 00:00:00
185,FENER,2023-01-19 00:00:00
186,FLAP,2023-03-01 00:00:00
187,FMIZP,2023-02-27 00:00:00
188,FONET,2023-03-13 00:00:00
189,FROTO,2023-02-08 00:00:00
190,FORMT,2023-02-25 00:00:00
191,FRIGO,2023-03-13 00:00:00
192,GWIND,21.02.2023 
193,GSRAY,2023-01-19 00:00:00
194,GARAN,2023-02-01 00:00:00
195,GARAN,2023-02-01 00:00:00
196,GARFA,2023-01-30 00:00:00
197,GRNYO,2023-01-30 00:00:00
198,GEDIK,2023-01-31 00:00:00
199,GEDZA,2023-03-01 00:00:00
200,GLCVY,2023-03-01 00:00:00
201,GENTS,2023-03-03 00:00:00
202,GENIL,2023-03-04 00:00:00
203,GEREL,2023-03-13 00:00:00
204,GZNMI,2023-03-13 00:00:00
205,GMTAS,2023-03-01 00:00:00
206,GESAN,2023-03-13 00:00:00
207,GLBMD,2023-03-08 00:00:00
208,GLYHO,2023-03-10 00:00:00
210,GOODY,2023-02-28 00:00:00
211,GOLTS,2023-03-13 00:00:00
212,GOZDE,2023-03-01 00:00:00
213,GSDDE,2023-03-13 00:00:00
214,GSDHO,2023-03-13 00:00:00
215,GUBRF,2023-03-17 00:00:00
216,GLRYH,2023-03-13 00:00:00
217,GRSEL,2023-03-06 00:00:00
218,HLGYO,2023-02-18 00:00:00
219,HLGYO,2023-02-18 00:00:00
220,HATEK,2023-03-14 00:00:00
221,HDFGS,2023-02-17 00:00:00
222,HEDEF,2023-03-03 00:00:00
223,HEKTS,2023-02-15 00:00:00
224,HTTBT,2023-03-06 00:00:00
225,HKTM,2023-03-10 00:00:00
226,HUBVC,2023-03-01 00:00:00
227,HUNER,2023-03-13 00:00:00
228,HURGZ,2023-03-09 00:00:00
229,ICBCT,2023-02-24 00:00:00
230,ICBCT,2023-02-24 00:00:00
231,IDEAS,2023-03-09 00:00:00
232,IDGYO,2023-02-27 00:00:00
233,IHEVA,2023-03-09 00:00:00
234,IHLGM,2023-03-09 00:00:00
235,IHGZT,2023-03-01 00:00:00
