,Now,Future,Percentage,Prediction,Succes
0,16824.67,16852.8,0.16719495835580744,-0.009224189618432884,0.0
1,16852.8,16826.87,-0.1538616728377491,-0.016287542417044804,1.0
2,16826.87,16834.8,0.047127005794905585,0.0028771776462020154,1.0
3,16834.8,16636.54,-1.1776795685128434,-0.00030433310452118896,1.0
4,16636.54,16662.13,0.1538180414917889,0.04535130690973485,1.0
5,16662.13,16821.43,0.9560602395972069,-0.016415863143603354,0.0
6,16821.43,16828.23,0.040424625017010385,-0.007587625336530597,0.0
7,16828.23,16848.01,0.11754058507636955,0.01671360779253836,1.0
8,16848.01,16844.02,-0.02368232212586463,-0.006336423437289214,1.0
9,16844.02,16832.16,-0.07041074517840684,0.012540938834334795,0.0
10,16832.16,16844.79,0.07503493312800913,0.016551773264137787,1.0
11,16844.79,16778.5,-0.3935341431979964,-0.0027098435510312397,1.0
12,16778.5,16840.65,0.3704145185803469,0.015319828211844603,1.0
13,16840.65,16848.26,0.045188279549762456,-0.002792276452929317,0.0
14,16848.26,16824.41,-0.14155764452826247,-0.017937219852150715,1.0
15,16824.41,16836.35,0.07096831330190412,-0.00032505624332060563,0.0
16,16836.35,16843.59,0.04300219465621069,-0.0033225860778709777,0.0
17,16843.59,16836.12,-0.04434921533948,0.005272288077938529,0.0
18,16836.12,16832.14,-0.02363965094095022,-0.009326235065068385,1.0
19,16832.14,16821.97,-0.060420124832603506,0.0025607694057577495,0.0
20,16821.97,16821.51,-0.0027345192031873466,-0.013074652905371716,1.0
21,16821.51,16793.09,-0.1689503498793954,0.0006691622358645771,0.0
22,16793.09,16794.07,0.005835733626156525,-0.013513538057172288,0.0
23,16794.07,16832.11,0.22650852354432516,-0.0021768739017921385,0.0
24,16832.11,16894.19,0.36881888248115047,-0.0047324698640023605,0.0
25,16894.19,16843.65,-0.2991561004108263,-0.008593040022559813,1.0
26,16843.65,16864.04,0.12105452203054767,0.017641386763038086,1.0
27,16864.04,16809.51,-0.32335075106560396,-0.007264763141064253,1.0
28,16809.51,16841.0,0.187334431521208,0.009902011978829976,1.0
29,16841.0,16919.39,0.4654711715456301,0.0017787840077178301,1.0
30,16919.39,16876.51,-0.2534370328954054,-0.00491392009920469,1.0
31,16876.51,16869.19,-0.043373896617254104,0.02242132880207856,0.0
32,16869.19,16832.4,-0.21808990236043257,9.174588554197553e-05,0.0
33,16832.4,16799.78,-0.1937929231719835,9.343631088451314e-05,0.0
34,16799.78,16690.75,-0.6489965940030089,-0.003755810001773637,1.0
35,16690.75,16706.36,0.09352485658223486,0.021806893475015493,1.0
36,16706.36,16650.65,-0.3334658178083032,-0.0069864308430532,1.0
37,16650.65,16647.16,-0.020960142697134643,0.016652819099253396,0.0
38,16647.16,16678.98,0.1911437146035695,0.006621119237407573,1.0
39,16678.98,16578.52,-0.6023150096708463,-0.006411870966388318,1.0
40,16578.52,16595.92,0.10495508646125984,0.052987809223884214,1.0
41,16595.92,16547.31,-0.29290331599571573,0.02971760701951362,0.0
42,16547.31,16558.33,0.06659692723469846,0.0094140989654283,1.0
43,16558.33,16556.37,-0.01183694249360201,0.005406070913590437,0.0
44,16556.37,16598.7,0.2556719860694159,0.004120193880463389,1.0
45,16598.7,16616.6,0.10783977058441963,0.012758192366336544,1.0
46,16616.6,16612.4,-0.025275928890366117,0.011743612659958462,0.0
47,16612.4,16633.47,0.1268329681442708,-0.0005787416787155514,0.0
48,16633.47,16599.08,-0.20675180825166706,-0.003702911802698357,1.0
