,Sector,Cari_Oran,Alacak_Devir_Hızı,Aktif_Devir_Hızı,Oz_Varlık_Karlılıgı,Kar_Marjları,Fiyat_Satıs_Oranı
22,"EĞİTİM, SAĞLIK, SPOR VE DİĞER SOSYAL HİZMETLER / SPOR FAALİYETLERİ EĞLENCE VE OYUN FAALİYETLERİ",0.9680133454767216,5.7893934954128845,0.40171472387029517,,"{""varlık_getirisi"": -20.9925, ""yatırılan_sermayenin_getirisi"": -154.345, ""brüt_kar_marjı"": -78.8875, ""faliyet_kar_marjı"": -95.9225, ""favök_marjı"": -73.35, ""net_marj"": -123.2225}",
23,ULAŞTIRMA VE DEPOLAMA / ULAŞTIRMA VE DEPOLAMA,1.8528512384889346,6.115143964788129,0.4491161675565601,37.25,"{""varlık_getirisi"": 19.071250000000003, ""yatırılan_sermayenin_getirisi"": 29.064999999999998, ""brüt_kar_marjı"": 20.848750000000003, ""faliyet_kar_marjı"": 14.60375, ""favök_marjı"": 22.457142857142856, ""net_marj"": 22.674999999999997}",13.862857142857143
24,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET,2.2512886861871744,43.70968444225266,0.9525287740878061,19.69545454545456,"{""varlık_getirisi"": 17.865, ""yatırılan_sermayenin_getirisi"": 30.3025, ""brüt_kar_marjı"": 25.180909090909093, ""faliyet_kar_marjı"": 3.332727272727273, ""favök_marjı"": 5.968, ""net_marj"": -4.332727272727272}",12.241
25,MALİ KURULUŞLAR / VARLIK YÖNETİM ŞİRKETLERİ,,,,,,
26,OTELLER VE LOKANTALAR / YİYECEK VE İÇECEK HİZMETLERİ,1.4410043896960143,0.5477518278026998,0.1656221624138404,67.05,"{""varlık_getirisi"": 33.41, ""yatırılan_sermayenin_getirisi"": 57.08, ""brüt_kar_marjı"": 58.61, ""faliyet_kar_marjı"": 45.16, ""favök_marjı"": 47.1, ""net_marj"": 30.24}",11.03
27,"İDARİ VE DESTEK HİZMET FAALİYETLERİ / BÜRO YÖNETİMİ, BÜRO DESTEĞİ VE DİĞER ŞİRKET DESTEK FAALİYETLERİ",2.9050564999123623,2.27111037961264,0.32325306624768735,29.324999999999996,"{""varlık_getirisi"": 21.23, ""yatırılan_sermayenin_getirisi"": 29.025000000000002, ""brüt_kar_marjı"": 18.189999999999998, ""faliyet_kar_marjı"": 12.440000000000001, ""favök_marjı"": 12.72, ""net_marj"": 45.95}",14.155
28,MALİ KURULUŞLAR / FİNANSAL KİRALAMA VE FAKTORİNG ŞİRKETLERİ,,,,,,
29,MADENCİLİK VE TAŞ OCAKÇILIĞI / METAL CEVHERİ MADENCİLİĞİ,6.547716087230429,1465.8007180666975,0.18681460099241076,36.825,"{""varlık_getirisi"": 23.825, ""yatırılan_sermayenin_getirisi"": 36.769999999999996, ""brüt_kar_marjı"": 35.445, ""faliyet_kar_marjı"": 16.105, ""favök_marjı"": 20.6, ""net_marj"": 72.195}",13.3
30,BİLGİ VE İLETİŞİM / YAYIMCILIK,2.4417646641154094,1.3355570045755674,0.38783350355335444,27.546666666666667,"{""varlık_getirisi"": 12.233333333333334, ""yatırılan_sermayenin_getirisi"": 26.49333333333333, ""brüt_kar_marjı"": 11.54, ""faliyet_kar_marjı"": -32.166666666666664, ""favök_marjı"": -30.206666666666667, ""net_marj"": -25.789999999999996}",50.629999999999995
31,İMALAT / ORMAN ÜRÜNLERİ VE MOBİLYA,1.2381013359716369,4.971033046822576,0.3949552632501451,38.38833333333333,"{""varlık_getirisi"": 16.37, ""yatırılan_sermayenin_getirisi"": 30.266, ""brüt_kar_marjı"": 33.23, ""faliyet_kar_marjı"": 20.13, ""favök_marjı"": 20.966, ""net_marj"": 15.486666666666666}",12.282
32,İDARİ VE DESTEK HİZMET FAALİYETLERİ / KİRALAMA VE LEASING FAALİYETLERİ,1.3671096965015082,22.740941540974895,0.2337282018987908,68.24,"{""varlık_getirisi"": 28.455, ""yatırılan_sermayenin_getirisi"": 45.17, ""brüt_kar_marjı"": 73.04499999999999, ""faliyet_kar_marjı"": 67.845, ""favök_marjı"": 68.17500000000001, ""net_marj"": 63.705}",19.1
