,Stock,Sector
33,AEFES,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
34,ANHYT,MALİ KURULUŞLAR / SİGORTA ŞİRKETLERİ
35,ASUZU,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
36,ANGEN,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
37,ANELE,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ
38,ARCLK,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
39,ARDYZ,TEKNOLOJİ / BİLİŞİM
40,ARENA,TEKNOLOJİ / BİLİŞİM
41,ARSAN,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
42,ARZUM,TOPTAN VE PERAKENDE TİCARET / TOPTAN TİCARET
43,ASGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
44,ASELS,TEKNOLOJİ / SAVUNMA
45,ASTOR,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
46,ATAGY,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
47,ATAKP,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
48,AGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
49,ATSYH,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
50,ATLAS,MALİ KURULUŞLAR / MENKUL KIYMET YATIRIM ORTAKLIKLARI
51,ATATP,TEKNOLOJİ / BİLİŞİM
52,AVGYO,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
53,AVTUR,OTELLER VE LOKANTALAR / KONAKLAMA
54,AVHOL,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
55,AYDEM,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
56,AYEN,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
57,AYES,İMALAT / ANA METAL SANAYİ
58,AYGAZ,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
59,AZTEK,TEKNOLOJİ / BİLİŞİM
60,BAGFS,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
61,BAKAB,İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM
62,BALAT,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
63,BNTAS,İMALAT / METAL EŞYA MAKİNE ELEKTRİKLİ CİHAZLAR VE ULAŞIM ARAÇLARI
64,BANVT,"İMALAT / GIDA, İÇECEK VE TÜTÜN"
65,BARMA,İMALAT / KAĞIT VE KAĞIT ÜRÜNLERİ BASIM
66,BASGZ,MALİ KURULUŞLAR / GAYRİMENKUL YATIRIM ORTAKLIKLARI
67,BASCM,İMALAT / TAŞ VE TOPRAĞA DAYALI
68,BTCIM,İMALAT / TAŞ VE TOPRAĞA DAYALI
69,BSOKE,İMALAT / TAŞ VE TOPRAĞA DAYALI
70,BAYRK,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
71,BERA,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
72,BRKSN,İMALAT / KİMYA İLAÇ PETROL LASTİK VE PLASTİK ÜRÜNLER
73,BJKAS,"EĞİTİM, SAĞLIK, SPOR VE DİĞER SOSYAL HİZMETLER / SPOR FAALİYETLERİ EĞLENCE VE OYUN FAALİYETLERİ"
74,BEYAZ,ULAŞTIRMA VE DEPOLAMA / ULAŞTIRMA VE DEPOLAMA
75,BIENY,İMALAT / TAŞ VE TOPRAĞA DAYALI
76,BLCYT,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
77,BIMAS,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET
78,BIOEN,ELEKTRİK GAZ VE SU / ELEKTRİK GAZ VE BUHAR
79,BRKVY,MALİ KURULUŞLAR / VARLIK YÖNETİM ŞİRKETLERİ
80,BRKO,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
81,BRLSM,İNŞAAT VE BAYINDIRLIK / İNŞAAT VE BAYINDIRLIK İŞLERİ
82,BRMEN,"İMALAT / TEKSTİL, GİYİM EŞYASI VE DERİ"
83,BIZIM,TOPTAN VE PERAKENDE TİCARET / PERAKENDE TİCARET
84,BMSTL,İMALAT / ANA METAL SANAYİ
85,BMSCH,İMALAT / ANA METAL SANAYİ
86,BOBET,İMALAT / TAŞ VE TOPRAĞA DAYALI
87,BRSAN,İMALAT / ANA METAL SANAYİ
88,BRYAT,MALİ KURULUŞLAR / HOLDİNGLER VE YATIRIM ŞİRKETLERİ
