,Share_Name,Bilanco_Date,Cari_Oran,Nakit_Oran,Toplam_Yabancı_Kaynaklar_Oz_Kaynaklar_Oranı,Alacak_Devir_Hızı,Aktif_Devir_Hızı,Oz_Varlık_Karlılıgı,Kar_Marjları,Hisse_Bası_Kazanc,Fiyat_Satıs_Oranı,Total
0,AVOD,2022-12,26,1,1,2,5,6,39,1,2,83
1,ACSEL,2022-12,19,1,1,2,4,6,41,1,2,77
2,ADEL,0,0,0,0,0,0,0,0,0,0,0
3,ADESE,0,0,0,0,0,0,0,0,0,0,0
4,AFYON,2022-12,26,1,1,2,5,3,28,2,2,70
5,AGHOL,0,0,0,0,0,0,0,0,0,0,0
6,AKCNS,2022-12,21,1,1,2,5,6,40,1,2,79
7,AKYHO,0,0,0,0,0,0,0,0,0,0,0
8,AKENR,0,0,0,0,0,0,0,0,0,0,0
9,AKFGY,0,0,0,0,0,0,0,0,0,0,0
10,ATEKS,0,0,0,0,0,0,0,0,0,0,0
11,AKSGY,0,0,0,0,0,0,0,0,0,0,0
12,AKMGY,2022-12,28,1,1,2,7,4,39,2,1,85
13,AKSA,2022-12,21,1,1,2,4,6,33,1,2,71
14,AKSEN,2022-12,21,1,1,2,4,5,52,1,2,89
15,AKSUE,0,0,0,0,0,0,0,0,0,0,0
16,ALCAR,2022-12,26,1,1,2,5,6,39,1,2,83
17,ALGYO,0,0,0,0,0,0,0,0,0,0,0
18,ALARK,0,0,0,0,0,0,0,0,0,0,0
19,ALCTL,2022-12,21,1,1,2,7,4,49,2,2,89
20,ALKIM,2022-12,28,1,1,2,4,6,38,1,2,83
21,ALKA,0,0,0,0,0,0,0,0,0,0,0
22,AYCES,0,0,0,0,0,0,0,0,0,0,0
23,ALMAD,2022-12,28,1,1,2,4,6,50,1,2,95
24,AEFES,2022-12,21,1,1,4,7,3,39,1,2,79
25,ASUZU,2022-12,21,1,1,5,7,3,51,1,2,92
26,ANGEN,0,0,0,0,0,0,0,0,0,0,0
27,ANELE,0,0,0,0,0,0,0,0,0,0,0
28,ARCLK,2022-12,21,1,1,2,5,3,45,1,2,81
29,ARDYZ,0,0,0,0,0,0,0,0,0,0,0
30,ARENA,2022-12,21,1,1,5,4,3,57,1,2,95
31,ARSAN,2022-12,26,1,1,4,7,6,30,1,2,78
32,ARZUM,0,0,0,0,0,0,0,0,0,0,0
33,ASELS,2022-12,21,0,1,5,5,7,38,1,2,80
34,ATAGY,2022-12,28,1,1,2,4,5,37,2,2,82
35,AGYO,2022-12,28,1,1,2,7,6,30,1,2,78
36,ATSYH,2022-12,21,1,1,2,4,5,35,1,1,71
37,ATLAS,2022-12,21,1,1,2,4,6,46,2,2,85
38,ATATP,0,0,0,0,0,0,0,0,0,0,0
39,AVGYO,2022-12,28,1,1,2,7,3,38,2,2,84
40,AVTUR,0,0,0,0,0,0,0,0,0,0,0
41,AVHOL,0,0,0,0,0,0,0,0,0,0,0
42,AYDEM,0,0,0,0,0,0,0,0,0,0,0
43,AYEN,2022-12,21,1,1,4,5,6,46,1,2,87
44,AYES,2022-12,21,0,1,4,4,6,50,1,2,89
45,AYGAZ,0,0,0,0,0,0,0,0,0,0,0
46,BAGFS,2022-12,19,1,1,4,7,6,45,1,2,86
47,BAKAB,2022-12,19,1,1,2,7,6,54,1,2,93
48,BALAT,0,0,0,0,0,0,0,0,0,0,0
49,BNTAS,2022-12,28,1,1,4,7,3,50,1,2,97
50,BANVT,0,0,0,0,0,0,0,0,0,0,0
51,BASGZ,0,0,0,0,0,0,0,0,0,0,0
52,BASCM,0,0,0,0,0,0,0,0,0,0,0
53,BTCIM,0,0,0,0,0,0,0,0,0,0,0
54,BSOKE,0,0,0,0,0,0,0,0,0,0,0
55,BAYRK,2022-12,19,1,1,2,7,3,40,1,1,75
56,BERA,2022-12,19,1,1,2,4,4,54,1,2,88
57,BRKSN,2022-12,21,1,1,2,4,3,46,2,2,82
58,BJKAS,0,0,0,0,0,0,0,0,0,0,0
59,BEYAZ,0,0,0,0,0,0,0,0,0,0,0
60,BLCYT,2022-12,28,1,1,2,7,6,35,1,2,83
61,BIMAS,0,0,0,0,0,0,0,0,0,0,0
62,BIOEN,0,0,0,0,0,0,0,0,0,0,0
63,BRKO,0,0,0,0,0,0,0,0,0,0,0
64,BRLSM,0,0,0,0,0,0,0,0,0,0,0
65,BRMEN,0,0,0,0,0,0,0,0,0,0,0
66,BIZIM,0,0,0,0,0,0,0,0,0,0,0
67,BMSCH,0,0,0,0,0,0,0,0,0,0,0
68,BOBET,0,0,0,0,0,0,0,0,0,0,0
69,BRSAN,0,0,0,0,0,0,0,0,0,0,0
70,BFREN,2022-12,21,1,1,5,4,6,37,1,1,77
71,BOSSA,2022-12,21,1,1,2,7,5,46,1,2,86
