,Share,Increase_Percentage
1,ACSEL,-20.487806271777004
2,ADEL,-5.560100435974647
3,ADESE,-19.33333333333333
4,AFYON,-28.690807799442894
5,AGESA,10.411980883446404
7,AHGAZ,-14.21875
8,AKENR,-18.26086956521739
9,AKMEN,
10,AKBNK,1.291831985212454
12,AKCNS,-15.023480280745275
13,AKYHO,-12.38938053097344
14,AKFGY,-21.282051282051285
16,ATEKS,-15.310704087993445
17,AKSGY,-28.668941979522188
19,AKMGY,-2.2794161764705905
20,AKSA,-8.374040240780445
21,AKSEN,-24.34686214563645
22,AKGRT,5.0
24,AKSUE,-1.1322220204654627
25,AKTIF,
27,ALCAR,-13.714285714285708
28,ALGYO,-17.366714756329344
30,ALARK,-31.384615384615387
31,ALBRK,-25.525525525525524
33,ALCTL,-24.30302909090909
34,ALFAS,
35,ALKA,-12.68709596176393
36,ALKIM,-18.21006836544437
37,ALMAD,-5.829596412556057
38,AYCES,-8.000002500000008
39,AEFES,17.04119411830733
40,AGHOL,3.718089982643505
41,ANHYT,-10.4352734375
43,ASUZU,-22.850413612772428
44,ANSGR,8.448998189499108
46,ANGEN,-25.71964956195244
47,ANELE,6.553398058252412
48,ARCLK,-1.0238882514647116
49,ARDYZ,-21.95704057279237
50,ARENA,-10.42199488491049
51,ARMDA,NaN
53,ARZUM,NaN
54,ASELS,-10.090086486486484
55,ASTOR,NaN
56,ATAGY,7.333333333333329
57,AGYO,-21.53518123667378
59,ATSYH,-8.982035928143716
60,ATLAS,-4.054054054054049
61,ATATP,-20.95869857426321
62,AVOD,-12.36363636363636
63,AVGYO,-21.910112359550567
65,AVTUR,-7.926829268292678
66,AVHOL,37.51465636076529
67,AYDEM,-28.786123051220983
68,AYEN,-36.479130778005725
69,AYES,NaN
70,AYGAZ,1.04477164179103
71,AZTEK,NaN
72,BAGFS,-35.77142857142857
73,BAKAB,-31.115455229567715
74,BALAT,NaN
75,BNTAS,-23.851851851851848
76,BANVT,-13.095238095238102
77,BARMA,NaN
78,BASGZ,NaN
79,BASCM,NaN
80,BTCIM,-2.9126213592233086
81,BSOKE,-34.46969696969697
82,BAYRK,5.19951632406287
83,BERA,-32.90960451977401
84,BRKSN,-21.663244353182748
85,BJKAS,76.55417406749555
86,BEYAZ,-17.86666666666666
87,BLCYT,-24.198473282442748
88,BIMAS,9.56036058142999
89,BIOEN,NaN
90,BRKVY,NaN
91,BRKO,-17.599999999999994
92,BRLSM,-25.629290617848966
93,BRMEN,-29.807692307692307
94,BIZIM,-27.14285714285714
95,BMSTL,NaN
96,BMSCH,-19.52440550688361
97,BOBET,NaN
98,BRSAN,56.482082084690546
99,BRYAT,-4.413078464333495
100,BFREN,-19.230769230769226
101,BOSSA,-4.900325512589447
102,BRISA,-31.508994034261235
103,BVSAN,-27.81849612248685
104,BURCE,69.63528413910095
105,BURVA,7.263609666136219
106,BUCIM,-37.12121212121211
107,CRFSA,13.792403069466872
108,CASA,-15.952536241645404
109,CEOEM,-49.519692603266094
110,CCOLA,26.885771760158235
111,CONSE,NaN
112,COSMO,-26.070036444803875
113,CRDFA,47.038327526132406
114,CANTE,-60.3565356612168
115,CLEBI,-15.996343692870198
116,CELHA,-12.196679438058752
117,CEMAS,-28.21782178217822
118,CEMTS,-9.79910339738754
119,CMBTN,-3.970174836905869
120,CMENT,-16.165720815040146
121,CIMSA,-38.75968992248062
122,CUSAN,0.11217049915875066
123,DAGI,-26.376440460947506
124,DAGHL,21.545454545454547
125,DAPGM,-21.825401887676392
126,DARDL,-24.04761904761905
127,DGATE,-8.333333333333329
128,DMSAS,2.3866348448687233
129,DENGE,-26.180257510729618
130,DZGYO,36.75213675213675
131,DERIM,26.092715231788077
132,DERHL,-23.818181818181813
133,DESA,5.375254993480354
134,DESPC,7.437506249999998
135,DEVA,-22.811881188118818
136,DNISI,NaN
137,DIRIT,-4.166666666666671
138,DITAS,-19.168422098957805
139,DOCO,59.07042162560859
140,DOBUR,-24.039211764705897
141,DOHOL,-6.806282722513089
142,DGNMO,-24.683544303797476
143,ARASE,NaN
144,DOGUB,39.19999333333334
145,DGGYO,39.26521239954076
146,DOAS,-31.239091840805997
147,DOKTA,-8.482140814333505
148,DURDO,-32.51824694376364
149,DYOBY,-10.38298297872339
150,EDATA,NaN
151,ECILC,6.546770019667974
152,ECZYT,1.3026796934865956
153,EDIP,-22.588832487309645
154,EGEEN,-28.84751773049645
155,EGGUB,-14.228719982528716
156,EGPRO,-26.191202543514322
157,EGSER,-33.4549246474804
158,EPLAS,-42.117646110677555
159,EKIZ,-17.365623154164197
160,ELITE,NaN
161,EMKEL,-31.227651966626937
162,EMNIS,-16.947522461542547
163,EKGYO,-33.849821215733016
165,ENJSA,-17.95795549423289
166,ENKAI,-21.7839751754847
167,ENSRI,NaN
168,ERBOS,-29.986611646048658
169,ERCB,NaN
170,EREGL,-23.921032508699895
171,ERSU,-0.5253940455341564
172,ESCAR,NaN
173,ESCOM,-19.46517412935323
174,ESEN,NaN
175,ETILR,-14.680232558139537
176,EUKYO,8.465608465608454
177,ETYAT,3.5799522673030992
178,EUYO,-16.33027522935781
179,EUHOL,-18.095238095238102
180,TEZOL,-20.20905923344948
181,EUREN,NaN
182,EYGYO,1.4309301045679632
184,FADE,-32.738626226583406
185,FENER,-16.231649530695762
186,FLAP,-36.54618473895582
187,FMIZP,-16.232874657534254
188,FONET,-26.213592233009706
189,FROTO,21.19765312906469
190,FORMT,44.44444444444446
191,FRIGO,-38.73762376237624
192,GWIND,-14.749433703569167
193,GSRAY,6.806930693069319
194,GARAN,11.9834664469642
196,GARFA,-17.980100152260917
197,GRNYO,13.043478260869563
198,GEDIK,12.783171521035598
199,GEDZA,-32.801664355062414
200,GLCVY,3.167803802748125
201,GENTS,-3.1666666666666714
202,GENIL,-9.422748502180568
203,GEREL,40.901213171577155
204,GZNMI,NaN
205,GMTAS,NaN
206,GESAN,-25.02654725663716
207,GLBMD,-12.380952380952394
208,GLYHO,-31.49113660062565
210,GOODY,-25.535709853316064
211,GOLTS,-22.54417102473498
212,GOZDE,-25.454541082377773
213,GSDDE,-9.196891191709838
214,GSDHO,-19.325153374233125
215,GUBRF,3.2243830359818872
216,GLRYH,-37.67857142857142
217,GRSEL,NaN
218,HLGYO,-33.8204592901879
220,HATEK,-18.367346938775512
221,HDFGS,-9.594065878093375
222,HEDEF,19.06249375
223,HEKTS,-17.712418300653596
224,HTTBT,6.308243727598565
225,HKTM,NaN
226,HUBVC,-24.729241877256314
227,HUNER,NaN
228,HURGZ,-29.071803852889673
229,ICBCT,-13.466334164588531
231,IDEAS,-39.47963972059842
232,IDGYO,-4.819277108433724
233,IHEVA,-26.34730538922156
234,IHLGM,-27.27272727272728
235,IHGZT,-13.461538461538467
236,IHAAS,NaN
237,IHLAS,-21.978021978021985
238,IHYAY,-33.91304347826086
239,IMASM,NaN
240,INDES,-4.423748544819546
241,INFO,-22.896281800391392
242,INTEM,-17.73922591470007
243,INVEO,0.0
244,INVES,NaN
245,ISKPL,NaN
246,IEYHO,-28.87700534759358
247,IPEKE,-20.48500319081046
248,ISDMR,-35.754191324576894
249,"ISATR, ISBTR, ISCTR, ISKUR",NaN
251,ISFIN,-13.509316770186345
252,ISGSY,-12.551724137931032
253,ISGYO,-30.13582342954159
254,ISMEN,-16.81818181818184
255,ISYAT,-14.315352697095435
256,ISBIR,NaN
257,ISSEN,NaN
258,ITTFH,-5.61056105610561
259,IZINV,8.6999075610903
260,IZMDC,-22.410865874363324
261,IZFAS,29.836065573770497
262,JANTS,-8.186049302325586
263,KFEIN,-27.276263530106476
264,KLKIM,-4.955750442477878
265,KAPLM,-34.234234234234236
266,KRDMD,-35.593220338983045
267,KAREL,-23.927392739273927
268,KARSN,-8.854166666666657
269,KRTEK,-11.954463946869069
270,KARYE,NaN
271,KARTN,-27.845773360309906
272,KATMR,-26.45673449690453
273,KENT,-16.58607471103373
274,KERVT,-35.88709677419355
275,KRVGD,-39.249149349439016
276,KERVN,7.5
277,KLRHO,-0.7729468599033851
278,KIMMR,NaN
279,KMPUR,-31.10200433143882
280,KZBGY,-30.082301649477444
281,KLGYO,-24.65277777777777
282,KLMSN,-12.334569207759088
283,KCAER,NaN
284,KCHOL,2.229732432432442
285,KLSYN,NaN
286,KNFRT,-35.7668364459536
287,KONTR,-34.16815505369388
288,KONYA,-34.96850829128188
289,KONKA,-26.47743136342484
290,KGYO,0.0
292,KORDS,-22.468354430379748
293,KRPLS,NaN
294,KOZAL,-21.65975518672198
295,KOZAA,-22.63985238810544
296,KRGYO,183.0028328611898
297,KRSTL,-24.291115311909266
298,KRONT,-40.37037037037036
299,KTKVK,NaN
300,KSTUR,NaN
301,KUVVA,-2.564102564102569
302,KUYAS,19.343069343065707
303,KUTPO,-23.86718898696897
304,KTSKR,NaN
305,LIDER,NaN
306,LIDFA,14.17525386066383
307,LINK,11.93099847000488
308,LOGO,5.400366752320906
309,LKMNH,NaN
310,LUKSK,125.22851480358779
311,MACKO,NaN
312,MAKIM,NaN
313,MAKTK,-29.937629937629936
314,MANAS,NaN
315,MAGEN,2.247781089795126
316,MARKA,252.5547445255474
317,MAALT,-11.111111111111114
318,MRSHL,-4.104803493449779
319,MRGYO,-26.480836236933797
320,MARTI,-11.764705882352942
321,MTRKS,NaN
322,MAVI,11.52073732718894
323,MZHLD,-25.925925925925924
324,MEDTR,-17.41935483870968
325,MEGAP,-50.33112582781457
326,MNDRS,-16.993464052287592
327,MERCN,NaN
328,MERIT,-14.972061870727998
329,MERKO,-18.858954041204427
330,METUR,-30.85501858736059
331,METRO,12.244897959183675
332,MEPET,-30.03731343283583
333,MTRYO,-1.4285714285714306
334,MIATK,NaN
335,MGROS,19.09722222222223
336,MIPAZ,-13.687782805429862
337,MSGYO,-1.9512195121951237
338,MPARK,-20.353448372207865
339,MMCAS,-12.307692307692307
340,MOBTL,NaN
341,MNDTR,-22.671156004489333
342,EGEPO,NaN
343,NATEN,-12.103176827443988
344,NTGAZ,NaN
345,NTHOL,-14.223764093668692
346,NETAS,0.06636032071534714
347,NIBAS,-40.70680628272252
348,NUHCM,23.125661767444413
349,NUGYO,-15.187713310580207
350,OBASE,NaN
351,ODAS,-39.404352806414664
352,ONCSM,NaN
353,ORCAY,-3.70898716119828
354,ORGE,-10.332749562171628
355,ORMA,NaN
356,OSMEN,-18.26086956521739
357,OSTIM,-13.972602739726028
358,OTKAR,-10.01999649999999
359,OTTO,4.3010752688172005
360,OYAKC,-40.48617056818587
361,OYYAT,-4.5360774364968535
362,OYAYO,-8.853681267474386
363,OYLUM,-1.4204545454545467
364,OZKGY,-32.08191126279864
366,OZGYO,-22.649572649572647
367,OZRDN,-3.937007874015748
368,OZSUB,NaN
369,PAMEL,-59.68309844542608
370,PAGYO,22.194309974636084
372,PNLSN,-18.096050988337282
373,PAPIL,-29.770114942528735
374,PRDGS,NaN
375,PRKME,-36.20253164556962
376,PARSN,-14.150943638952725
377,PSGYO,NaN
378,PCILT,NaN
379,PGSUS,-11.613566289825286
380,PEKGY,60.17191977077363
382,PENGD,-29.392971246006383
383,PENTA,-63.138295911611486
384,PEGYO,17.19532554257094
385,PSDTC,-5.704918032786878
386,PETKM,-24.62641960549911
387,PKENT,-11.784229875518676
388,PETUN,-16.41379310344827
389,PINSU,-29.726890756302524
390,PNSUT,-9.770848941720416
391,PKART,2.666662499999987
392,PLTUR,NaN
393,POLHO,-7.070707070707087
394,POLTK,53.32628266384779
395,PRZMA,87.77777777777774
396,QNBFL,-18.885603177798757
397,QNBFB,-10.570173709218153
399,QUAGR,12.666197004859086
400,RNPOL,NaN
401,RALYH,30.15873624758561
402,RAYSG,4.487179726879248
403,RYGYO,6.929637526652428
405,RYSAS,-6.552901247539282
406,RHEAG,NaN
407,RODRG,-51.622912233069975
408,ROYAL,NaN
409,RTALB,-24.56140350877193
410,RUBNS,-2.8873963961791844
411,SAHOL,-13.951357781029927
412,SAFKR,-10.006671114076056
414,SANFM,-13.504074505238648
415,SANKO,-12.355208494208483
416,SAMAT,26.619964973730305
417,SARKY,-18.269227494760727
418,SASA,-10.913931657099582
419,SAYAS,-27.922885572139293
420,SDTTR,NaN
421,SEKUR,-36.15107913669064
422,SELEC,-37.409088636363634
423,SELGD,-22.188905547226383
424,SELVA,NaN
425,SNKRN,-15.923566878980893
426,SNICA,NaN
427,SRVGY,-11.849710982658962
429,SEYKM,-15.277777777777771
430,SILVR,-7.652685798381157
431,SNGYO,-29.392971246006383
433,SMRTG,-28.33819066414837
434,SMART,-22.06047032474804
435,SODSN,NaN
436,SOKE,NaN
437,SKTAS,-16.753926701570677
438,SONME,-9.004438522370364
439,SNPAM,-17.0
440,SUMAS,NaN
441,SUNTK,-17.11583491999609
442,SEKFK,-9.312638580931264
443,SEGYO,NaN
445,SKBNK,-5.73770491803279
447,SISE,-3.209636328745333
448,SUWEN,NaN
449,SOKM,17.902101398601403
450,HALKB,0.09469696969696884
452,KLNMA,-14.79820627802691
456,TSKB,-7.159904534606213
458,TBORG,-7.248672149435762
459,TNZTP,26.25000625
460,TATGD,-5.791855203619917
461,TAVHL,7.1951949155818085
462,TETMT,-22.73281633345627
463,TEKTU,-25.396825396825392
464,TKFEN,-22.854387656702016
465,TKNSA,-5.9667297762478455
466,TMPOL,-15.138282387190685
467,TERA,-28.53087650816181
468,TFNVK,NaN
469,TGSAS,-20.744081172491533
470,TOASO,43.12924761904762
471,TRGYO,-22.46049223817677
473,TLMAN,-29.901958661732692
474,TSPOR,-18.764302059496572
475,TDGYO,-4.6234390858409
476,TSGYO,-21.132075471698116
477,TUCLK,-14.176248403575983
478,TUKAS,-43.629694941782546
479,TRCAS,-29.008904733235227
480,TUREX,NaN
481,TRILC,NaN
482,TCELL,-4.414361389052388
483,TMSN,-30.73943540034216
484,TUPRS,-0.5641066435238287
485,THYAO,-12.59515363321799
486,PRKAB,-14.596059558589943
487,TTKOM,-21.627521661798028
488,TTRAK,2.6779255493862877
489,TURGG,-17.51672011935686
490,TURSG,-2.0725388601036485
492,UFUK,-10.680449796390178
493,ULAS,60.22222222222223
494,ULUFA,4.727272727272734
495,ULUSE,NaN
496,ULUUN,-23.270849280192323
497,UMPAS,NaN
498,USAK,-30.496453900709227
499,UZERB,NaN
500,ULKER,-12.574496049627655
501,UNLU,-16.157205240174676
502,VAKFN,12.1875
503,VKGYO,-33.863636363636374
504,VAKVK,NaN
505,VKFYO,29.245283018867923
506,VAKBN,4.805491990846676
508,VAKKO,-16.169493220338964
509,VANGD,45.30892448512586
510,VBTYZ,-26.427680283451437
511,VERUS,15.281499280044699
512,VERTU,-7.244582267634129
513,VESTL,-33.14381159103364
514,VESBE,-16.758457907159723
515,VKING,-7.352941176470594
516,YKBNK,17.49408983451535
518,YAPRK,-17.875284477489245
519,YATAS,-27.434054497984306
520,YAYLA,-14.372469635627525
521,YYLGD,-9.876541106538568
522,YGGYO,-8.5217420289855
524,YGYO,-18.716577540106954
526,YYAPI,-10.63829787234043
527,YESIL,-12.793733681462143
528,YEOTK,NaN
529,YBTAS,NaN
530,YONGA,NaN
531,YKSLN,-17.418213969938108
